Sayol_name,Dataset_sp,Archipelago,Order,Family,Genus,Mass,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipp.s.Distance,Tail.Length,Aquatic_species,Aquatic_rationale,Imputation notes
Apteribis sp./Lanai,Apteribis_sp._Lanai,Hawaii,PELECANIFORMES,Threskiornithidae,Extinct,1177.7,102.29,76.7,11.87,16.88,56.92,226.61,81.65,128.53,FALSE,Probably forest floor species,Imputed from skeleton data
Apteribis sp./Maui,Apteribis_sp._Maui,Hawaii,PELECANIFORMES,Threskiornithidae,Extinct,1947.4,123.1,90.99,13.62,19.82,65.04,254.66,87.64,142.68,FALSE,Probably forest floor species,Imputed from skeleton data
Aptornis defossor,Aptornis_defossor,New_Zealand,GRUIFORMES,Extinct,Extinct,18000,119.41,64.59,32.18,37.87,116.27,360.82,33.8,336.24,FALSE,Probably dry forest species,Imputed from skeleton data
Aptornis otidiformis,Aptornis_otidiformis,New_Zealand,GRUIFORMES,Extinct,Extinct,8000,90.61,45.28,23.29,27.73,101.41,295.45,25.98,284.81,FALSE,Probably dry forest/grassland species,Imputed from skeleton data
Ara guadeloupensis,Ara_guadeloupensis,Lesser_Antilles,PSITTACIFORMES,Psittacidae,Ara,343,54.24,46.13,23.77,44.61,27.46,303.83,110.65,309.76,FALSE,Assumption as no other species in genus are aquatic,Imputed from body mass
Biziura delautouri,Biziura_delautouri,New_Zealand,ANSERIFORMES,Anatidae,Biziura,2000,45.11,26.04,24.45,20.47,51.57,273.66,91.35,98.75,TRUE,"Only extant congener is wetland, and NZ birds says it was most likely wetland too",Imputed from skeleton data
Branta hylobadistes,Branta_hylobadistes,Hawaii,ANSERIFORMES,Anatidae,Branta,3544.3,48.37,24.33,17.42,15.21,77.05,360.36,166.88,130.97,FALSE,No other Branta species considered aquatic and would be very unlikely for this weak-flying species to be one.,Imputed from skeleton data
Branta rhuax,Branta_rhuax,Hawaii,ANSERIFORMES,Anatidae,Branta,8600,53.65,28.05,20.24,17.66,81.56,427.94,205.83,152.82,FALSE,No other Branta species considered aquatic and would be very unlikely for this weak-flying species to be one.,Imputed from skeleton data
Capellirallus karamu,Capellirallus_karamu,New_Zealand,GRUIFORMES,Rallidae,Extinct,240,34.4,18.07,4.74,8.4,41.88,115.23,18.48,51.63,FALSE,Closed-canopy forests as per NZ Birds Online,Imputed from skeleton data
Carduelis aurelioi,Carduelis_aurelioi,Canaries,PASSERIFORMES,Fringillidae,Carduelis,18.5,14.95,9.81,5.2,6.39,17.47,77.86,23.29,56.48,FALSE,Probably a Laurel forest species. No other Carduelis species is aquatic,Imputed from skeleton data
Carduelis triasi,Carduelis_triasi,Canaries,PASSERIFORMES,Fringillidae,Carduelis,16.46,13.59,9.08,4.9,5.99,15.53,70.68,22.19,54.07,FALSE,Probably a Laurel forest species. No other Carduelis species is aquatic,Imputed from skeleton data
Chaetoptila angustipluma,Chaetoptila_angustipluma,Hawaii,PASSERIFORMES,Meliphagidae,Extinct,55,31.89,19.46,7.5,6.15,37.1,113.5,21.29,155.5,FALSE,Forest species as per BotW,Imputed from partial skin data
Chaetoptila sp./Maui,Chaetoptila_sp._Maui,Hawaii,PASSERIFORMES,Meliphagidae,Extinct,97,34.12,20.89,7.04,7.11,37.27,126.67,23.36,135.93,FALSE,Sister species is a forest species,Imputed from body mass
Chelychelynechen quassus,Chelychelynechen_quassus,Hawaii,ANSERIFORMES,Anatidae,Extinct,619.38,36.36,22.04,13.5,11.31,35.92,185.73,73.19,77.7,FALSE,"Extinct genus so no extant species to compare against, and no published habitat data. Its a flightless grazing species (Givnish et al. 1994), so most likely a grassland species like other Hawaiian geese, but not 100% sure.",Imputed from skeleton data
Chenonetta finschi,Chenonetta_finschi,New_Zealand,ANSERIFORMES,Anatidae,Chenonetta,800,35.53,17.69,12.72,10.97,49.67,275.8,109.26,103.62,FALSE,"Despite being a duck, more associated with grassland, scrublands or open forests and with little association with wetlands or lakes, as per IUCN & NZ Birds online. Not the same as its only extant congener!",Imputed from skeleton data
Chloridops kona,Chloridops_kona,Hawaii,PASSERIFORMES,Fringillidae,Extinct,59.15,22.38,15.22,11.68,18.05,21.9,85.33,22.45,53.83,FALSE,Forest species as per BotW & IUCN,Imputed from partial skin and skeleton data 
Chloridops regiskongi,Chloridops_regiskongi,Hawaii,PASSERIFORMES,Fringillidae,Extinct,62.27,25.33,17.71,10.75,14.73,24.9,99.7,23.28,63.81,FALSE,Assumption as other species in genus are forest species,Imputed from skeleton data
Chloridops sp./Kauai,Chloridops_sp._Kauai,Hawaii,PASSERIFORMES,Fringillidae,Extinct,52.09,22.64,15.78,9.94,13.56,23.21,92.79,22.07,59.2,FALSE,Assumption as other species in genus are forest species,Imputed from skeleton data
Chloridops sp./Maui,Chloridops_sp._Maui,Hawaii,PASSERIFORMES,Fringillidae,Extinct,47.56,21.27,14.82,9.57,13,22.27,89.01,21.45,56.58,FALSE,Assumption as other species in genus are forest species,Imputed from skeleton data
Chloridops wahi,Chloridops_wahi,Hawaii,PASSERIFORMES,Fringillidae,Extinct,48.6,21.5,14.93,9.54,13.04,22.51,90.42,21.95,57.27,FALSE,Assumption as other species in genus are forest species,Imputed from skeleton data
Circus dossenus,Circus_dossenus,Hawaii,ACCIPITRIFORMES,Accipitridae,Circus,415.47,31.56,16.5,9.96,14.29,71.61,340.85,200.2,141.98,FALSE,"Generally considered a forest species, including by Olson & James (1991)",Imputed from skeleton data
Circus teauteensis,Circus_teauteensis,New_Zealand,ACCIPITRIFORMES,Accipitridae,Circus,2750,50.51,28.04,15.85,23.37,105.46,532.75,239.7,315.22,FALSE,Forest/shrub species as per NZ Birds online,Imputed from skeleton data
Ciridops anna,Ciridops_anna,Hawaii,PASSERIFORMES,Fringillidae,Extinct,25.61,14.1,7.7,4.2,4.7,19,72.8,17.4,42.5,FALSE,Forest species as per BotW & IUCN,Imputed from partial skin and skeleton data 
Ciridops tenax,Ciridops_tenax,Hawaii,PASSERIFORMES,Fringillidae,Extinct,19.43,12.12,7.68,4.12,4.79,18.56,66.6,16.97,43.8,FALSE,Assumed given sister species is a forest species,Imputed from skeleton data
Cnemiornis calcitrans,Cnemiornis_calcitrans,New_Zealand,ANSERIFORMES,Anatidae,Extinct,4659.02,79.83,45.68,25.87,23.8,84.53,418.35,139.22,175.81,FALSE,Grassland/scrub species as per NZ Birds online,Imputed from skeleton data
Cnemiornis gracillis,Cnemiornis_gracillis,New_Zealand,ANSERIFORMES,Anatidae,Extinct,4876.19,83.52,47.4,26.37,24.3,92.13,439.21,142.21,181.45,FALSE,Grassland species as per NZ Birds online,Imputed from skeleton data
Coenocorypha barrierensis,Coenocorypha_barrierensis,New_Zealand,CHARADRIIFORMES,Scolopacidae,Coenocorypha,105,51.2,44.6,4.2,7.5,21.3,103,35.51,32,FALSE,"Only one specimen, but NZ Birds online presumes it to be a forest species. No extant members of the genus are aquatic",Imputed from partial skin and skeleton data 
Coenocorypha iredalei,Coenocorypha_iredalei,New_Zealand,CHARADRIIFORMES,Scolopacidae,Coenocorypha,105,55.5,45.4,5.07,7.5,22.5,101.55,34.1,37.1,FALSE,Forest/scrub species as per NZ Birds online. No extant members of the genus are aquatic.,Imputed from partial skin and skeleton data 
Corvus antipodum,Corvus_antipodum,New_Zealand,PASSERIFORMES,Corvidae,Corvus,950,64.81,44.89,17.86,23.07,63.78,323.28,111.18,214.8,FALSE,"No specific habitat data published, and extant coastal Corvus species do exist. Many specimens have been found in coastal habitats, but it doesn’t seem 100% of these have been coastal",Imputed from skeleton data
Corvus impluviatus,Corvus_impluviatus,Hawaii,PASSERIFORMES,Corvidae,Corvus,590.02,54.33,34.63,14.2,18.65,62.36,271.41,78.61,197.19,FALSE,"No specific habitat data published, and extant coastal Corvus species do exist. Some coastal affiliation with specimen locations, but no real reason to presume its aquatic. Not known from aquatic sites.",Imputed from skeleton data
Corvus viriosus,Corvus_viriosus,Hawaii,PASSERIFORMES,Corvidae,Corvus,518.41,54.42,36.04,14.7,18.9,58.63,271.64,87.79,190.67,FALSE,"No specific habitat data published. Some coastal affiliation with specimen locations, but no real reason to presume its aquatic. Not known from aquatic sites. ",Imputed from skeleton data
Coturnix gomerae,Coturnix_gomerae,Canaries,GALLIFORMES,Phasianidae,Coturnix,154.27,16.95,8.1,5.2,6.16,27.48,116.96,35.16,47.52,FALSE,Assumption as other species in genus are grassland/farmland species,Imputed from skeleton data
Coturnix novaezelandiae,Coturnix_novaezelandiae,New_Zealand,GALLIFORMES,Phasianidae,Coturnix,210,12.66,7.14,5.97,5.9,26.02,105.5,24.62,37.5,FALSE,Considered a grassland species by IUCN. All other species in genus are grassland/farmland species,Imputed from partial skin and skeleton data 
Cyanoramphus zealandicus,Cyanoramphus_zealandicus,Society,PSITTACIFORMES,Psittacidae,Cyanoramphus,110.45,23.14,17.8,10.72,18.21,22.44,144,47.48,156,FALSE,Assumed a forest species by IUCN. No extant member of the genus is aquatic,Imputed from partial skin data
Cygnus sumnerensis,Cygnus_sumnerensis,New_Zealand,ANSERIFORMES,Anatidae,Cygnus,1000,53.7,28.06,15.91,13.58,76.75,333.71,130.9,103.09,TRUE,Implied to be a wetland species by NZ birds online. All extant members of genus are wetland species.,Imputed from skeleton data
Dendrocygna sp./Aitutaki,Dendrocygna_sp.,Cook_islands,ANSERIFORMES,Anatidae,Dendrocygna,1150,50.18,30.85,17.44,15.61,51.59,227.08,71.22,69.92,TRUE,Difficult. Most likely to be aquatic (most extant members of the genus are including the species most likely to be this species closest relative) but not all members of the genus are aquatic. No specific habitat data published.,Imputed from body mass (median genus)
Dendroscansor decurvirostris,Dendroscansor_decurvirostris,New_Zealand,PASSERIFORMES,Acanthisittidae,Extinct,30,16.98,9.27,3.38,3.48,24.25,50.86,8.99,32.07,FALSE,Considered a subalpine scrub species by NZ birds online,Imputed from skeleton data
Dinornis novaezealandiae,Dinornis_novaezealandiae,New_Zealand,Extinct,Extinct,Extinct,150000,117.12,47.76,46.2,40.7,318.49,447,18.41,116.9,FALSE,"Forest, scrub, and grassland species as per NZ birds online",Imputed from skeleton data
Dinornis robustus,Dinornis_robustus,New_Zealand,Extinct,Extinct,Extinct,238000,136.55,54.38,52.27,45.81,397.65,551.03,21.39,141.82,FALSE,"Forest, scrub, and grassland species as per NZ birds online",Imputed from skeleton data
Drepanis funerea,Vestiaria_funerea,Hawaii,PASSERIFORMES,Fringillidae,Vestiaria,31.87,49.9,39,5.2,7.75,30.65,103.75,25.9,70.2,FALSE,Rainforest species as per BotW & IUCN,Imputed from partial skin data
Drepanis pacifica,Vestiaria_pacifica,Hawaii,PASSERIFORMES,Fringillidae,Vestiaria,28.66,47.38,37.08,4.75,6.88,28.98,102.2,29.02,69,FALSE,Forest species as per BotW & IUCN,Imputed from partial skin data
Dysmorodrepanis munroi,Dysmorodrepanis_munroi,Hawaii,PASSERIFORMES,Fringillidae,Extinct,26.3,16.92,11.31,6.04,7.57,21.4,86.3,20.03,52,FALSE,Forest species as per BotW & IUCN,Imputed from partial skin data
Emberiza alcoveri,Emberiza_alcoveri,Canaries,PASSERIFORMES,Emberizidae,Emberiza,24.14,14.62,8.5,4.52,5.8,21.62,81.57,16.08,69.14,FALSE,Considered likely a laurel forest species by Rando & Lopez 1999. Aquatic species do occur in the genus but these are atypical.,Imputed from skeleton data
Emeus crassus,Emeus_crassus,New_Zealand,Extinct,Extinct,Extinct,109600,63.7,24.06,27.15,33.36,212.02,312.91,18.27,96.55,FALSE,"Mixed habitats. Did use wetlands, but certainly not exclusively, as per NZ Birds online",Imputed from skeleton data
Erithacus sp./Canaries,Erithacus_sp._Canaries,Canaries,PASSERIFORMES,Muscicapidae,Erithacus,17.7,14.69,8,3.32,3.4,23.16,75.26,13.91,57.38,FALSE,Assumed - only extant member of genus is a forest species.,Imputed from body mass (median genus)
Erythrura sp./Rota,Erythrura_sp._Rota,Marianas,PASSERIFORMES,Estrildidae,Erythrura,19.4,13.97,9.67,6.42,7.9,17.49,62.82,12.42,46.08,FALSE,Assumed - no extant member of genus is a forest species.,Imputed from body mass
Euryapteryx curtus,Euryapteryx_curtus,New_Zealand,Extinct,Extinct,Extinct,40200,61.24,25.44,28.71,31.98,141.96,248.51,17.31,69.16,FALSE,Forest species as per NZ birds online,Imputed from skeleton data
Fulica prisca,Fulica_prisca,New_Zealand,GRUIFORMES,Rallidae,Fulica,1000,42.25,20.33,7.69,12.52,77.66,228.59,70.01,65.65,FALSE,"Unlike all other members of the genus, NZ birds online says this species was unusually terrestrial, and associated with forests and subalpine habitats as well as wetlands.",Imputed from skeleton data
Gallicolumba sp./Rota,Gallicolumba_sp._Rota,Marianas,COLUMBIFORMES,Columbidae,Gallicolumba,275,22.95,10.74,3.91,5.1,36.4,165.98,45.16,99.4,FALSE,Assumption as all other species in the genus are forest species,Imputed from body mass
Gallirallus pendiculentus,Gallirallus_pendiculentus,Marianas,GRUIFORMES,Rallidae,Gallirallus,235.92,30,17.82,4.94,9.17,42.5,96.5,3.45,66.5,FALSE,Assumption as both extant species are forest species,Imputed from skeleton data
Gallirallus pisonii,Gallirallus_pisonii,Marianas,GRUIFORMES,Rallidae,Gallirallus,235.92,32.28,18.74,4.97,9.05,42.7,116.5,3.47,66.25,FALSE,Assumption as both extant species are forest species,Imputed from skeleton data
Gallirallus sp./Saipan,Gallirallus_sp._Saipan,Marianas,GRUIFORMES,Rallidae,Gallirallus,226,35.78,19.27,4.98,9.18,47.8,104.29,3.17,71.07,FALSE,Assumption as both extant species are forest species,Imputed from body mass
Gallirallus temptatus,Gallirallus_temptatus,Marianas,GRUIFORMES,Rallidae,Gallirallus,205.92,32.28,18.65,4.97,9.15,42.7,136.5,3.73,66.25,FALSE,Assumption as both extant species are forest species,Imputed from skeleton data
Grallistrix auceps,Grallistrix_auceps,Hawaii,STRIGIFORMES,Strigidae,Extinct,492.7,36.83,20.46,10.76,17.54,63.35,261.92,55.13,146.04,FALSE,"Assumption based on most closely related genus (Strix) having no aquatic species, and from its specialist bird-hunting ecology.",Imputed from skeleton data
Grallistrix erdmani,Grallistrix_erdmani,Hawaii,STRIGIFORMES,Strigidae,Extinct,383.63,33.66,18.87,9.86,15.75,59.09,240.48,54.08,132.61,FALSE,"Assumption based on most closely related genus (Strix) having no aquatic species, and from its specialist bird-hunting ecology.",Imputed from skeleton data
Grallistrix geleches,Grallistrix_geleches,Hawaii,STRIGIFORMES,Strigidae,Extinct,515.4,37.68,20.91,10.77,17.46,67.64,261.66,55.34,151.94,FALSE,"Assumption based on most closely related genus (Strix) having no aquatic species, and from its specialist bird-hunting ecology.",Imputed from skeleton data
Grallistrix orion,Grallistrix_orion,Hawaii,STRIGIFORMES,Strigidae,Extinct,410.21,34.34,19.18,10.1,16.14,59.68,242.2,54.39,135.39,FALSE,"Assumption based on most closely related genus (Strix) having no aquatic species, and from its specialist bird-hunting ecology.",Imputed from skeleton data
Haematopus meadewaldoi,Haematopus_meadewaldoi,Canaries,CHARADRIIFORMES,Haematopodidae,Haematopus,700,86.63,61.96,8.6,14.23,53.24,249.67,110.92,104.89,TRUE,Coastal species as per BotW & IUCN,Imputed from partial skin and skeleton data 
Hemignathus upupirostris,Hemignathus_upupirostris,Hawaii,PASSERIFORMES,Fringillidae,Hemignathus,24.2,22.77,15.69,4.34,5.33,22.13,67.89,13.81,48.98,FALSE,Assumption based on all extant species in the genera being forest species,Imputed from skeleton data
Hemignathus vorpalis,Hemignathus_vorpalis,Hawaii,PASSERIFORMES,Fringillidae,Hemignathus,59.52,32.33,21.58,5.82,7.46,32.44,91.79,16.34,70.45,FALSE,Assumption based on all extant species in the genera being forest species,Imputed from skeleton data
Heteralocha acutirostris,Heteralocha_acutirostris,New_Zealand,PASSERIFORMES,Callaeatidae,Extinct,300,76.69,60.8,8.23,12.38,78.76,190,18.37,180.52,FALSE,Forest species as per BotW & IUCN,Imputed from partial skin and skeleton data 
Hieraaetus moorei,Hieraaetus_moorei,New_Zealand,ACCIPITRIFORMES,Accipitridae,Hieraaetus,12750,77.28,42.34,22.28,37.53,130.64,731.6,245.47,411.85,FALSE,Grassland/subalpine species as per NZ birds online,Imputed from skeleton data
Hypotaenidia pacifica,Gallirallus_pacificus,Society,GRUIFORMES,Rallidae,Gallirallus,99.2,30,16.34,4.01,7.1,42.5,136.5,19.13,66.5,FALSE,Assumption as both extant species are forest species,Imputed from body mass
Hypotaenidia ripleyi,Gallirallus_ripleyi,Cook_islands,GRUIFORMES,Rallidae,Gallirallus,230.5,27.4,16.15,4.37,7.94,33.4,92.5,17.7,45,FALSE,Assumption as both extant species are forest species,Imputed from skeleton data
Ixobrychus novaezelandiae,Ixobrychus_novaezelandiae,New_Zealand,PELECANIFORMES,Ardeidae,Ixobrychus,150,63.6,44.7,11.33,10.67,49,148.33,45.66,49.43,TRUE,Considered a wetland species by IUCN & NZ Birds online. Almost all extant species in genus are wetland species.,Imputed from partial skin data
Loxioides kikuchi,Loxioides_kikuchi,Hawaii,PASSERIFORMES,Fringillidae,Loxioides,39.93,16.08,10.24,6.94,8.88,24.29,91.35,18.19,70.51,FALSE,"Considered likely to be a woodland species by Olson & James (2006) based on ecology of the extant member of the genus, and fossil morphology.",Imputed from skeleton data
Malacorhynchus scarletti,Malacorhynchus_scarletti,New_Zealand,ANSERIFORMES,Anatidae,Malacorhynchus,800,67.97,49.89,22.57,17.72,38.29,239.7,99.39,82.09,TRUE,Considered a wetland species by NZ Birds online. Only extant member of genus is a wetland species.,Imputed from skeleton data
Megadyptes waitaha,Megadyptes_waitaha,New_Zealand,SPHENISCIFORMES,Spheniscidae,Megadyptes,3895.78,59.2,33.68,11.04,18.09,33.78,131.16,9.28,61.69,TRUE,A coastal species as per Cole et al. 2019. Only extant genus member is a marine species.,Imputed from skeleton data
Megalapteryx didinus,Megalapteryx_didinus,New_Zealand,Extinct,Extinct,Extinct,21400,66.31,24.19,24.22,24.93,163.47,229.59,10,75.04,FALSE,Upland grassland/scrub/forest habitats as per NZ birds Online.,Imputed from skeleton data
Moho apicalis,Moho_apicalis,Hawaii,PASSERIFORMES,Meliphagidae,Extinct,63.7,35.5,22.76,6.35,6.01,34.06,111,25.12,139,FALSE,Considered likely a forest species by BotW and IUCN,Imputed from partial skin data
Moho bishopi,Moho_bishopi,Hawaii,PASSERIFORMES,Meliphagidae,Extinct,68.97,36.98,25.92,6.47,6.15,37.24,115.4,26.02,126.8,FALSE,Considered a forest species by BotW and IUCN,Imputed from partial skin data
Moho braccatus,Moho_braccatus,Hawaii,PASSERIFORMES,Meliphagidae,Extinct,48.99,32.78,20.68,5.3,5.53,32.64,97.6,20.42,85.8,FALSE,Considered a forest species by BotW and IUCN,Imputed from partial skin data
Moho nobilis,Moho_nobilis,Hawaii,PASSERIFORMES,Meliphagidae,Extinct,67.92,32.02,20.43,5.54,5.83,39.93,119.73,33.08,176.66,FALSE,Considered a forest species by BotW and IUCN,Imputed from partial skin data
Myadestes myadestinus,Myadestes_myadestinus,Hawaii,PASSERIFORMES,Turdidae,Myadestes,51.24,19.17,9.42,5.91,5.5,32.98,103.67,23.55,86,FALSE,Considered a forest species by BotW and IUCN,Imputed from partial skin and skeleton data 
Myadestes woahensis,Myadestes_woahensis,Hawaii,PASSERIFORMES,Turdidae,Myadestes,45.09,19.52,7.59,4.86,4.24,34.89,102,22.31,80,FALSE,Considered a forest species by BotW and IUCN,Imputed from partial skin data
Myiagra freycineti,Myiagra_freycineti,Marianas,PASSERIFORMES,Monarchidae,Myiagra,13.35,15.7,8.34,5.85,3.81,19.8,68,13.84,58.2,FALSE,Considered a forest species by BotW and IUCN,Imputed from partial skin data
Nycticorax sp./Mangaia,Nycticorax_sp.,Cook_islands,PELECANIFORMES,Ardeidae,Nycticorax,833,81.96,56.51,14.03,19.32,80.29,296.98,89.72,107.75,TRUE,Assumed based on both extant members of genus being wetland species.,Imputed from body mass (median genus)
Orthiospiza howarthi,Orthiospiza_howarthi,Hawaii,PASSERIFORMES,Fringillidae,Extinct,43.55,20.62,13.33,7.1,9.16,25.01,103.01,22.91,77.97,FALSE,Considered a highland forest endemic by Olson & James (1991). ,Imputed from skeleton data
Oxyura vantetsi,Oxyura_vantetsi,New_Zealand,ANSERIFORMES,Anatidae,Oxyura,707.64,42.51,25.64,18.38,13.68,35.21,192.54,62.35,67.91,TRUE,Considered a wetland species by Worthy (2005). All extact members of genus are also wetland species,Imputed from skeleton data
Pachyornis australis,Pachyornis_australis,New_Zealand,Extinct,Extinct,Extinct,116100,78.7,30.21,33.57,39.69,223.2,339.18,19.67,99.36,FALSE,Scrub and grassland species as per NZ birds online,Imputed from skeleton data
Pachyornis elephantopus,Pachyornis_elephantopus,New_Zealand,Extinct,Extinct,Extinct,217900,88.69,34.88,39.2,47.27,251.91,397.92,23.93,116.28,FALSE,Forest and grassland species as per NZ birds online,Imputed from skeleton data
Pachyornis geranoides,Pachyornis_geranoides,New_Zealand,Extinct,Extinct,Extinct,36500,60.83,22.14,25.89,30.02,187.32,265.43,15.23,78.96,FALSE,"Some association with wetlands and dunes, as per NZ Birds online. Seems to be not restricted to such habitats, but hard to be sure. No other members of the genus are aquatic.",Imputed from skeleton data
Pachyplichas jagmi,Pachyplichas_jagmi,New_Zealand,PASSERIFORMES,Acanthisittidae,Extinct,32.7,17.63,9.98,3.83,3.71,24.78,51.32,7.74,31.08,FALSE,Forest species as per NZ birds online,Imputed from skeleton data
Pachyplichas yaldwyni,Pachyplichas_yaldwyni,New_Zealand,PASSERIFORMES,Acanthisittidae,Extinct,50,20.22,11.44,4.37,4.25,28.01,57.4,9.12,35.3,FALSE,Forest species as per NZ birds online,Imputed from skeleton data
Paroreomyza flammea,Paroreomyza_flammea,Hawaii,PASSERIFORMES,Fringillidae,Paroreomyza,13.16,15.43,10.25,3.52,3.98,20.95,61,11.7,50.25,FALSE,Considered a forest species by BotW and IUCN,Imputed from partial skin data
Pomarea pomarea,Pomarea_pomarea,Society,PASSERIFORMES,Monarchidae,Pomarea,25.4,18.33,10.89,5.34,4.92,28.8,97.6,18.24,80.58,FALSE,Considered likely a forest species by BotW and IUCN,Imputed from body mass
Porphyrio sp./Mangaia,Porphyrio_sp._Mangaia,Cook_islands,GRUIFORMES,Rallidae,Porphyrio,83.34,66,27.03,7.18,13.36,83,130,32.68,92,TRUE,Assumed - 80% of extant species are wetland species,Imputed from body mass
Porphyrio sp./Rota,Porphyrio_sp._Rota,Marianas,GRUIFORMES,Rallidae,Porphyrio,213.05,33.64,19.53,6.73,12.36,51.39,147.82,37.59,69.51,TRUE,Assumed - 80% of extant species are wetland species,Imputed from body mass (median genus)
Porphyrio sp./Tinian,Porphyrio_sp._Tinian,Marianas,GRUIFORMES,Rallidae,Porphyrio,1000,50.23,29.22,9.76,18.79,74.29,215.1,52.77,101.85,TRUE,Assumed - 80% of extant species are wetland species,Imputed from body mass
Prosobonia ellisi,Prosobonia_ellisi,Society,CHARADRIIFORMES,Scolopacidae,Prosobonia,36,21.81,13.38,2.46,3.46,24.08,95.14,36.49,52.29,TRUE,"Unknown. Assumed to have similar habitat to Prosobonia leucoptera, which is mountain streams in the interior of the islands. This is very different from the only extant species in the genus (which is coastal). Depends on whether small streams are enough to classify a species as riverine? On this basis, have gone with TRUE",Imputed from body mass
